QT_MAT_BAS,QT_MAT_INF,QT_MAT_INF_CRE,QT_MAT_INF_PRE,QT_MAT_FUND,QT_MAT_MED,QT_MAT_PROF,QT_MAT_INF_INT,QT_MAT_INF_CRE_INT,QT_MAT_INF_PRE_INT,QT_MAT_FUND_INT,QT_MAT_MED_INT,Indice_infra,ano
3530.125,610.3125,256.4375,353.875,1951.375,466.0625,14.3125,84.6875,53.125,31.5625,687.875,68.8125,0.3438852683532347,2021
5783.6875,956.875,430.375,526.5,2890.5625,1091.625,273.25,334.125,265.8125,68.3125,136.125,76.0,0.40203233580823805,2021
7265.8125,1072.9375,406.5,666.4375,4159.6875,1166.1875,98.5,196.9375,159.0,37.9375,221.1875,235.6875,0.46732496591591227,2021
4245.0,997.0,579.0,418.0,2290.0,286.0,0.0,329.0,322.0,7.0,176.0,4.0,0.5601780147792754,2022
3429.3125,604.6875,263.3125,341.375,1859.1875,448.8125,36.375,89.25,59.875,29.375,702.625,77.75,0.5581805771442551,2022
5453.0,932.1875,415.625,516.5625,2779.875,902.75,227.8125,366.375,260.0,106.375,329.4375,100.5,0.6247130806385948,2022
7148.8125,1178.875,482.25,696.625,3946.125,1197.5,111.5625,230.0,187.125,42.875,456.0,292.6875,0.5867967989310314,2022
3993.0,971.0,552.0,419.0,2046.0,288.0,0.0,370.0,338.0,32.0,73.0,2.0,0.6237515327447218,2023
3378.0,631.5,278.9375,352.5625,1776.0625,433.1875,59.625,118.9375,81.75,37.1875,770.375,117.1875,0.5667449795816091,2023
5450.875,981.125,457.25,523.875,2675.5625,814.9375,284.0,452.875,311.9375,140.9375,550.375,128.125,0.614276599681889,2023
6980.4375,1254.1875,526.75,727.4375,3786.125,1155.75,140.8125,228.4375,198.4375,30.0,541.625,306.375,0.6124776647938658,2023
