QT_MAT_BAS,QT_MAT_INF,QT_MAT_INF_CRE,QT_MAT_INF_PRE,QT_MAT_FUND,QT_MAT_MED,QT_MAT_PROF,QT_MAT_INF_INT,QT_MAT_INF_CRE_INT,QT_MAT_INF_PRE_INT,QT_MAT_FUND_INT,QT_MAT_MED_INT,Indice_infra,ano
4218.0,494.375,95.8125,398.5625,2584.3125,512.9375,40.0,55.375,52.5625,2.8125,18.0625,0.0,0.2948071562910794,2010
4292.75,625.4375,140.75,484.6875,2723.5,554.375,46.125,41.6875,34.5625,7.125,3.9375,0.0,0.2697767033619358,2010
4795.0,803.0,0.0,803.0,3172.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43585866874434487,2010
2141.090909090909,322.3636363636364,77.45454545454545,244.9090909090909,1353.7272727272727,319.1818181818182,52.54545454545455,86.54545454545455,6.7272727272727275,79.81818181818181,59.36363636363637,14.181818181818182,0.3577584532053384,2010
4156.9375,500.4375,101.875,398.5625,2473.6875,513.75,40.375,58.3125,51.75,6.5625,9.375,0.0,0.2445103221793492,2011
4141.125,600.625,141.1875,459.4375,2632.4375,520.6875,12.25,34.125,28.375,5.75,119.75,4.1875,0.22469564075266513,2011
4494.0,599.0,0.0,599.0,3053.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3615570616261178,2011
2076.181818181818,291.0,91.0909090909091,199.9090909090909,1303.8181818181818,352.1818181818182,57.54545454545455,87.72727272727273,31.363636363636363,56.36363636363637,132.63636363636363,11.727272727272727,0.29823321298562777,2011
3933.4375,478.5,99.1875,379.3125,2334.5,509.875,25.1875,56.625,43.375,13.25,158.375,15.0,0.2776957087473494,2012
4019.625,582.375,143.0625,439.3125,2533.1875,531.0625,38.375,33.25,26.0625,7.1875,161.6875,4.875,0.24544790082434986,2012
4285.0,603.0,52.0,551.0,2914.0,282.0,0.0,0.0,0.0,0.0,56.0,0.0,0.34609890430747825,2012
2038.1818181818182,312.3636363636364,99.0,213.36363636363637,1264.4545454545455,353.3636363636364,47.54545454545455,106.72727272727273,40.18181818181818,66.54545454545455,486.1818181818182,29.272727272727273,0.3209523168469037,2012
3898.9375,487.625,107.125,380.5,2242.25,500.0,14.0625,62.625,48.875,13.75,380.3125,10.5,0.24817091183122986,2013
3852.1875,571.8125,143.0,428.8125,2427.1875,520.8125,16.25,43.0625,32.0,11.0625,186.875,1.9375,0.25472236193387254,2013
5360.0,882.0,345.0,537.0,3106.0,300.0,0.0,0.0,0.0,0.0,2062.0,0.0,0.3433661619529518,2013
1935.8181818181818,324.1818181818182,91.63636363636364,232.54545454545453,1196.5454545454545,290.54545454545456,22.363636363636363,93.0909090909091,25.90909090909091,67.18181818181819,443.1818181818182,1.1818181818181819,0.3256752219417278,2013
3834.6875,495.9375,122.75,373.1875,2138.875,464.5625,16.8125,82.3125,50.9375,31.375,845.75,27.3125,0.2653496890793921,2014
3684.25,547.25,150.375,396.875,2315.5,506.125,13.0625,37.125,27.5625,9.5625,350.125,25.8125,0.2614750834070674,2014
4857.0,931.0,428.0,503.0,3029.0,278.0,0.0,1.0,0.0,1.0,2240.0,0.0,0.34895510872152163,2014
1871.0,273.90909090909093,94.36363636363636,179.54545454545453,1202.4545454545455,264.27272727272725,24.454545454545453,70.9090909090909,28.363636363636363,42.54545454545455,592.8181818181819,1.1818181818181819,0.32632830287656067,2014
3709.0,500.8125,146.8125,354.0,2077.5625,440.8125,2.5,85.0,51.4375,33.5625,1036.5,24.0,0.29078974580092726,2015
3609.5625,563.6875,168.8125,394.875,2248.0,484.9375,23.75,43.0,32.0,11.0,585.5,19.0625,0.26995231121867447,2015
4689.0,961.0,459.0,502.0,2736.0,280.0,0.0,0.0,0.0,0.0,2048.0,28.0,0.34523753376949107,2015
1809.909090909091,277.45454545454544,99.36363636363636,178.0909090909091,1151.4545454545455,254.63636363636363,23.09090909090909,73.18181818181819,31.90909090909091,41.27272727272727,561.5454545454545,2.5454545454545454,0.31297594677738916,2015
3704.0625,506.6875,154.375,352.3125,1973.25,443.5,1.375,73.0625,55.625,17.4375,505.0,14.75,0.2784493468159673,2016
3616.3125,563.125,167.4375,395.6875,2173.5,517.625,26.0,43.375,34.5,8.875,173.0625,38.25,0.27838110514357195,2016
4462.0,961.0,470.0,491.0,2617.0,292.0,0.0,0.0,0.0,0.0,41.0,0.0,0.3521046532959889,2016
1769.7272727272727,281.27272727272725,97.9090909090909,183.36363636363637,1128.5454545454545,249.0,8.636363636363637,83.54545454545455,31.636363636363637,51.90909090909091,296.45454545454544,0.0,0.31263440694145606,2016
3759.875,528.875,162.5,366.375,1985.125,463.25,0.625,90.1875,63.5,26.6875,741.0,14.4375,0.2766690451549585,2017
3898.75,667.25,276.125,391.125,2142.4375,497.3125,0.0,52.125,38.75,13.375,426.25,36.375,0.2730095510661756,2017
4445.0,937.0,466.0,471.0,2643.0,301.0,0.0,99.0,99.0,0.0,0.0,0.0,0.3412904583292578,2017
1782.8181818181818,285.54545454545456,93.9090909090909,191.63636363636363,1134.090909090909,248.72727272727272,6.363636363636363,106.45454545454545,33.63636363636363,72.81818181818181,443.27272727272725,0.0,0.31501457124663423,2017
3662.0625,538.75,176.4375,362.3125,1940.9375,427.75,4.875,86.0,60.4375,25.5625,385.4375,18.3125,0.27392399276205387,2018
3750.4375,620.3125,238.6875,381.625,2085.8125,489.5625,0.0,41.75,32.9375,8.8125,358.375,42.5625,0.2747067467644796,2018
4275.0,888.0,447.0,441.0,2544.0,334.0,0.0,130.0,130.0,0.0,913.0,0.0,0.4538107575707999,2018
