"codigo";"municipio"
2105658;"Junco do Maranhão"
2105948;"Lago dos Rodrigues"
2400406;"Água Nova"
2401651;"Bodó"
2406007;"José da Penha"
2407252;"Major Sales"
2410009;"Pilões"
2410801;"Riacho de Santana"
2413102;"Senador Elói de Souza"
2414456;"Triunfo Potiguar"
2926400;"Riacho de Santana"
