Sigla;codigo;municipio;taxa_analfabetismo
BA;2903904;Bom Jesus da Lapa;19.18
BA;2903953;Bom Jesus da Serra;27.15
BA;2904001;Boninal;22.02
BA;2904050;Bonito;20.32
BA;2904100;Boquira;25.81
BA;2904209;Botuporã;26.32
BA;2904308;Brejões;24.27
BA;2904407;Brejolândia;26.31
BA;2904506;Brotas de Macaúbas;21.22
BA;2904605;Brumado;16.28
BA;2904704;Buerarema;23.1
BA;2904753;Buritirama;26.05
BA;2904803;Caatiba;30,00
BA;2904852;Cabaceiras do Paraguaçu;26.5
BA;2904902;Cachoeira;16.01
BA;2905008;Caculé;20.17
BA;2905107;Caém;25.16
BA;2905156;Caetanos;27.04
BA;2905206;Caetité;20.42
BA;2905305;Cafarnaum;21.82
BA;2905404;Cairu;15.53
BA;2905503;Caldeirão Grande;29.26
BA;2905602;Camacan;22.82
BA;2905701;Camaçari;7.78
BA;2905800;Camamu;26.65
BA;2905909;Campo Alegre de Lourdes;27.96
BA;2906006;Campo Formoso;24.55
BA;2906105;Canápolis;30.9
BA;2906204;Canarana;19.01
BA;2906303;Canavieiras;19.62
BA;2906402;Candeal;25.73
BA;2906501;Candeias;9.08
BA;2906600;Candiba;25.63
BA;2906709;Cândido Sales;26.08
BA;2906808;Cansanção;28.93
BA;2906824;Canudos;25.23
BA;2906857;Capela do Alto Alegre;27.98
BA;2906873;Capim Grosso;20.75
BA;2906899;Caraíbas;32.86
BA;2906907;Caravelas;24.95
BA;2907004;Cardeal da Silva;23.01
BA;2907103;Carinhanha;25.91
BA;2907202;Casa Nova;24.86
BA;2907301;Castro Alves;22.66
BA;2907400;Catolândia;25.58
BA;2907509;Catu;11.12
BA;2907558;Caturama;27.88
BA;2907608;Central;20.01
BA;2907707;Chorrochó;28.38
BA;2907806;Cícero Dantas;32.89
BA;2907905;Cipó;23.83
BA;2908002;Coaraci;23.55
BA;2908101;Cocos;24.88
BA;2908200;Conceição da Feira;16.03
BA;2908309;Conceição do Almeida;20.44
BA;2908408;Conceição do Coité;19.84
BA;2908507;Conceição do Jacuípe;12.39
BA;2908606;Conde;24.09
BA;2908705;Condeúba;27.24
BA;2908804;Contendas do Sincorá;26.71
BA;2908903;Coração de Maria;21,00
BA;2909000;Cordeiros;25.58
BA;2909109;Coribe;28.37
BA;2909208;Coronel João Sá;39.29
BA;2909307;Correntina;23.46
BA;2909406;Cotegipe;29.82
BA;2909505;Cravolândia;27.78
BA;2909604;Crisópolis;30.66
BA;2909703;Cristópolis;30.2
BA;2909802;Cruz das Almas;11.79
BA;2909901;Curaçá;24.72
BA;2910008;Dário Meira;34.07
BA;2910057;Dias d'Ávila;8.21
BA;2910107;Dom Basílio;23.72
BA;2910206;Dom Macedo Costa;20.79
BA;2910305;Elísio Medrado;25.43
BA;2910404;Encruzilhada;32.75
BA;2910503;Entre Rios;18.07
BA;2910602;Esplanada;21.61
BA;2910701;Euclides da Cunha;27.43
BA;2910727;Eunápolis;14.8
BA;2910750;Fátima;35.08
BA;2910776;Feira da Mata;22.41
BA;2910800;Feira de Santana;9.08
BA;2910859;Filadélfia;22.52
BA;2910909;Firmino Alves;23.44
BA;2911006;Floresta Azul;28.97
BA;2911105;Formosa do Rio Preto;22.33
BA;2911204;Gandu;22.83
BA;2911253;Gavião;26.28
BA;2911303;Gentio do Ouro;25.45
BA;2911402;Glória;28.1
BA;2911501;Gongogi;28.44
BA;2911600;Governador Mangabeira;17.45
BA;2911659;Guajeru;29.89
BA;2911709;Guanambi;15.42
BA;2911808;Guaratinga;34.47
BA;2911857;Heliópolis;31.96
BA;2911907;Iaçu;24.99
BA;2912004;Ibiassucê;20.99
BA;2912103;Ibicaraí;21.5
BA;2912202;Ibicoara;16.31
BA;2912301;Ibicuí;25.6
BA;2912400;Ibipeba;18.16
BA;2912509;Ibipitanga;28.1
BA;2912608;Ibiquera;30.06
BA;2912707;Ibirapitanga;31.91
