tx_desemprego;Sigla;codigo;municipio
6.11;MA;2107308;Nova Iorque
6.54;MA;2107357;Nova Olinda do Maranhão
2.98;MA;2107407;Olho d'Água das Cunhãs
7.55;MA;2107456;Olinda Nova do Maranhão
10.35;MA;2107506;Paço do Lumiar
5.07;MA;2107605;Palmeirândia
8.5;MA;2107704;Paraibano
7.68;MA;2107803;Parnarama
9.64;MA;2107902;Passagem Franca
4.78;MA;2108009;Pastos Bons
4.08;MA;2108058;Paulino Neves
8.05;MA;2108108;Paulo Ramos
8.41;MA;2108207;Pedreiras
5.26;MA;2108256;Pedro do Rosário
5.72;MA;2108306;Penalva
7.77;MA;2108405;Peri Mirim
14.71;MA;2108454;Peritoró
7.57;MA;2108504;Pindaré-Mirim
5.76;MA;2108603;Pinheiro
5.15;MA;2108702;Pio XII
5.42;MA;2108801;Pirapemas
3.83;MA;2108900;Poção de Pedras
8.21;MA;2109007;Porto Franco
0.66;MA;2109056;Porto Rico do Maranhão
5.73;MA;2109106;Presidente Dutra
9.7;MA;2109205;Presidente Juscelino
7.61;MA;2109239;Presidente Médici
4.62;MA;2109270;Presidente Sarney
6.48;MA;2109304;Presidente Vargas
3.94;MA;2109403;Primeira Cruz
10.59;MA;2109452;Raposa
6.72;MA;2109502;Riachão
20.63;MA;2109551;Ribamar Fiquene
10.88;MA;2109601;Rosário
8.49;MA;2109700;Sambaíba
16.7;MA;2109759;Santa Filomena do Maranhão
8.52;MA;2109809;Santa Helena
8.39;MA;2109908;Santa Inês
6.15;MA;2110005;Santa Luzia
7.2;MA;2110039;Santa Luzia do Paruá
6.47;MA;2110104;Santa Quitéria do Maranhão
10.88;MA;2110203;Santa Rita
15.46;MA;2110237;Santana do Maranhão
5.96;MA;2110278;Santo Amaro do Maranhão
8.14;MA;2110302;Santo Antônio dos Lopes
6.78;MA;2110401;São Benedito do Rio Preto
10.56;MA;2110500;São Bento
7.3;MA;2110609;São Bernardo
9.02;MA;2110658;São Domingos do Azeitão
4.34;MA;2110708;São Domingos do Maranhão
6.08;MA;2110807;São Félix de Balsas
7.46;MA;2110856;São Francisco do Brejão
2.57;MA;2110906;São Francisco do Maranhão
10.76;MA;2111003;São João Batista
5.91;MA;2111029;São João do Carú
3.13;MA;2111052;São João do Paraíso
3.85;MA;2111078;São João do Soter
6.21;MA;2111102;São João dos Patos
11.46;MA;2111201;São José de Ribamar
4.16;MA;2111250;São José dos Basílios
11.92;MA;2111300;São Luís
3.74;MA;2111409;São Luís Gonzaga do Maranhão
11.99;MA;2111508;São Mateus do Maranhão
14.78;MA;2111532;São Pedro da Água Branca
3.98;MA;2111573;São Pedro dos Crentes
7.64;MA;2111607;São Raimundo das Mangabeiras
2.91;MA;2111631;São Raimundo do Doca Bezerra
3.56;MA;2111672;São Roberto
4.72;MA;2111706;São Vicente Ferrer
1.28;MA;2111722;Satubinha
5.61;MA;2111748;Senador Alexandre Costa
7.59;MA;2111763;Senador La Rocque
5.74;MA;2111789;Serrano do Maranhão
2.27;MA;2111805;Sítio Novo
5.81;MA;2111904;Sucupira do Norte
2.78;MA;2111953;Sucupira do Riachão
7.23;MA;2112001;Tasso Fragoso
5.78;MA;2112100;Timbiras
7.61;MA;2112209;Timon
5.28;MA;2112233;Trizidela do Vale
8.23;MA;2112274;Tufilândia
6.18;MA;2112308;Tuntum
8.27;MA;2112407;Turiaçu
7.07;MA;2112456;Turilândia
4.52;MA;2112506;Tutóia
7.06;MA;2112605;Urbano Santos
12.06;MA;2112704;Vargem Grande
5.89;MA;2112803;Viana
9.19;MA;2112852;Vila Nova dos Martírios
5.33;MA;2112902;Vitória do Mearim
4.99;MA;2113009;Vitorino Freire
6.34;MA;2114007;Zé Doca
3.52;PI;2200053;Acauã
3.71;PI;2200103;Agricolândia
6.16;PI;2200202;Água Branca
5.2;PI;2200251;Alagoinha do Piauí
15.06;PI;2200277;Alegrete do Piauí
5.1;PI;2200301;Alto Longá
6.28;PI;2200400;Altos
10.65;PI;2200459;Alvorada do Gurguéia
5.2;PI;2200509;Amarante
7.3;PI;2200608;Angical do Piauí
8.17;PI;2200707;Anísio de Abreu
13.04;PI;2200806;Antônio Almeida
11.26;PI;2200905;Aroazes
15.36;PI;2200954;Aroeiras de Itaim
6.59;PI;2201002;Arraial
25.67;PI;2201051;Assunção do Piauí
13.11;PI;2201101;Avelino Lopes
14.61;PI;2201150;Baixa Grande do Ribeiro
8.94;PI;2201176;Barra D'Alcântara
4.67;PI;2201200;Barras
5.29;PI;2201309;Barreiras do Piauí
7.7;PI;2201408;Barro Duro
5.47;PI;2201507;Batalha
6.76;PI;2201556;Bela Vista do Piauí
8.35;PI;2201572;Belém do Piauí
2.5;PI;2201606;Beneditinos
11.14;PI;2201705;Bertolínia
3.91;PI;2201739;Betânia do Piauí
5.15;PI;2201770;Boa Hora
7.86;PI;2201804;Bocaina
6.96;PI;2201903;Bom Jesus
2.45;PI;2201919;Bom Princípio do Piauí
4.41;PI;2201929;Bonfim do Piauí
8.15;PI;2201945;Boqueirão do Piauí
4.09;PI;2201960;Brasileira
6.94;PI;2201988;Brejo do Piauí
8.49;PI;2202000;Buriti dos Lopes
5.82;PI;2202026;Buriti dos Montes
5.25;PI;2202059;Cabeceiras do Piauí
11.48;PI;2202075;Cajazeiras do Piauí
6.04;PI;2202083;Cajueiro da Praia
2.54;PI;2202091;Caldeirão Grande do Piauí
3.66;PI;2202109;Campinas do Piauí
39.15;PI;2202117;Campo Alegre do Fidalgo
6.99;PI;2202133;Campo Grande do Piauí
2.52;PI;2202174;Campo Largo do Piauí
8.4;PI;2202208;Campo Maior
17.03;PI;2202251;Canavieira
10.4;PI;2202307;Canto do Buriti
4.55;PI;2202406;Capitão de Campos
4.35;PI;2202455;Capitão Gervásio Oliveira
10.02;PI;2202505;Caracol
2.64;PI;2202539;Caraúbas do Piauí
9.11;PI;2202554;Caridade do Piauí
7.54;PI;2202604;Castelo do Piauí
4.64;PI;2202653;Caxingó
5.39;PI;2202703;Cocal
12.17;PI;2202711;Cocal de Telha
2.83;PI;2202729;Cocal dos Alves
4.35;PI;2202737;Coivaras
7.8;PI;2202752;Colônia do Gurguéia
3.06;PI;2202778;Colônia do Piauí
4.28;PI;2202802;Conceição do Canindé
8.17;PI;2202851;Coronel José Dias
8.67;PI;2202901;Corrente
7.12;PI;2203008;Cristalândia do Piauí
5.37;PI;2203107;Cristino Castro
6.88;PI;2203206;Curimatá
6.99;PI;2203230;Currais
8.37;PI;2203255;Curralinhos
2.4;PI;2203271;Curral Novo do Piauí
9.39;PI;2203305;Demerval Lobão
6.83;PI;2203354;Dirceu Arcoverde
9.85;PI;2203404;Dom Expedito Lopes
4.48;PI;2203420;Domingos Mourão
3.64;PI;2203453;Dom Inocêncio
5.02;PI;2203503;Elesbão Veloso
6.51;PI;2203602;Eliseu Martins
6.38;PI;2203701;Esperantina
4.68;PI;2203750;Fartura do Piauí
10.18;PI;2203800;Flores do Piauí
5.68;PI;2203859;Floresta do Piauí
6.68;PI;2203909;Floriano
15.17;PI;2204006;Francinópolis
4.31;PI;2204105;Francisco Ayres
15.46;PI;2204154;Francisco Macedo
5.05;PI;2204204;Francisco Santos
10.3;PI;2204303;Fronteiras
8.31;PI;2204352;Geminiano
7.47;PI;2204402;Gilbués
6.75;PI;2204501;Guadalupe
12.43;PI;2204550;Guaribas
10.52;PI;2204600;Hugo Napoleão
6.97;PI;2204659;Ilha Grande
3.9;PI;2204709;Inhuma
7.93;PI;2204808;Ipiranga do Piauí
5.45;PI;2204907;Isaías Coelho
4.9;PI;2205003;Itainópolis
5.71;PI;2205102;Itaueira
9.24;PI;2205151;Jacobina do Piauí
5.24;PI;2205201;Jaicós
6.29;PI;2205250;Jardim do Mulato
1.63;PI;2205276;Jatobá do Piauí
12.71;PI;2205300;Jerumenha
6.02;PI;2205359;João Costa
6.37;PI;2205409;Joaquim Pires
1.41;PI;2205458;Joca Marques
8.49;PI;2205508;José de Freitas
7.09;PI;2205516;Juazeiro do Piauí
5.06;PI;2205524;Júlio Borges
13.5;PI;2205532;Jurema
2.58;PI;2205540;Lagoinha do Piauí
9.54;PI;2205557;Lagoa Alegre
8.18;PI;2205565;Lagoa do Barro do Piauí
6.19;PI;2205573;Lagoa de São Francisco
5.33;PI;2205581;Lagoa do Piauí
13.7;PI;2205599;Lagoa do Sítio
3.76;PI;2205607;Landri Sales
8.74;PI;2205706;Luís Correia
3.49;PI;2205805;Luzilândia
4.72;PI;2205854;Madeiro
5.62;PI;2205904;Manoel Emídio
2.67;PI;2205953;Marcolândia
13.79;PI;2206001;Marcos Parente
7.22;PI;2206050;Massapê do Piauí
5.89;PI;2206100;Matias Olímpio
5.57;PI;2206209;Miguel Alves
2.45;PI;2206308;Miguel Leão
9.87;PI;2206357;Milton Brandão
10.58;PI;2206407;Monsenhor Gil
1.15;PI;2206506;Monsenhor Hipólito
9.18;PI;2206605;Monte Alegre do Piauí
3.5;PI;2206654;Morro Cabeça no Tempo
3.62;PI;2206670;Morro do Chapéu do Piauí
8.61;PI;2206696;Murici dos Portelas
7.68;PI;2206704;Nazaré do Piauí
9.42;PI;2206720;Nazária
12.48;PI;2206753;Nossa Senhora de Nazaré
3.23;PI;2206803;Nossa Senhora dos Remédios
13.74;PI;2206902;Novo Oriente do Piauí
2.9;PI;2206951;Novo Santo Antônio
5.76;PI;2207009;Oeiras
16.43;PI;2207108;Olho D'Água do Piauí
11.03;PI;2207207;Padre Marcos
11.88;PI;2207306;Paes Landim
4.99;PI;2207355;Pajeú do Piauí
3.02;PI;2207405;Palmeira do Piauí
16.6;PI;2207504;Palmeirais
4.36;PI;2207553;Paquetá
10.43;PI;2207603;Parnaguá
9.71;PI;2207702;Parnaíba
4.9;PI;2207751;Passagem Franca do Piauí
6.28;PI;2207777;Patos do Piauí
1.84;PI;2207793;Pau D'Arco do Piauí
6.46;PI;2207801;Paulistana
4.74;PI;2207850;Pavussu
4.64;PI;2207900;Pedro II
4.5;PI;2207934;Pedro Laurentino
6.55;PI;2207959;Nova Santa Rita
7.63;PI;2208007;Picos
5.1;PI;2208106;Pimenteiras
6.22;PI;2208205;Pio IX
6.47;PI;2208304;Piracuruca
4.33;PI;2208403;Piripiri
2.59;PI;2208502;Porto
8.36;PI;2208551;Porto Alegre do Piauí
13.25;PI;2208601;Prata do Piauí
6.02;PI;2208650;Queimada Nova
7.06;PI;2208700;Redenção do Gurguéia
9.38;PI;2208809;Regeneração
18.71;PI;2208858;Riacho Frio
6.51;PI;2208874;Ribeira do Piauí
8.77;PI;2208908;Ribeiro Gonçalves
6.52;PI;2209005;Rio Grande do Piauí
3.07;PI;2209104;Santa Cruz do Piauí
6.96;PI;2209153;Santa Cruz dos Milagres
9.07;PI;2209203;Santa Filomena
11.2;PI;2209302;Santa Luz
2.97;PI;2209351;Santana do Piauí
8.48;PI;2209377;Santa Rosa do Piauí
2.18;PI;2209401;Santo Antônio de Lisboa
12.95;PI;2209450;Santo Antônio dos Milagres
12.32;PI;2209500;Santo Inácio do Piauí
3.35;PI;2209559;São Braz do Piauí
5.42;PI;2209609;São Félix do Piauí
3.07;PI;2209658;São Francisco de Assis do Piauí
6.79;PI;2209708;São Francisco do Piauí
21.75;PI;2209757;São Gonçalo do Gurguéia
18.27;PI;2209807;São Gonçalo do Piauí
11.07;PI;2209856;São João da Canabrava
7.65;PI;2209872;São João da Fronteira
7.16;PI;2209906;São João da Serra
7.93;PI;2209955;São João da Varjota
4.85;PI;2209971;São João do Arraial
6.67;PI;2210003;São João do Piauí
3.1;PI;2210052;São José do Divino
5.03;PI;2210102;São José do Peixe
3.66;PI;2210201;São José do Piauí
6.18;PI;2210300;São Julião
4.17;PI;2210359;São Lourenço do Piauí
3.58;PI;2210375;São Luis do Piauí
4.21;PI;2210383;São Miguel da Baixa Grande
4.69;PI;2210391;São Miguel do Fidalgo
6.07;PI;2210409;São Miguel do Tapuio
6.9;PI;2210508;São Pedro do Piauí
5.38;PI;2210607;São Raimundo Nonato
9.58;PI;2210623;Sebastião Barros
26.87;PI;2210631;Sebastião Leal
6.25;PI;2210656;Sigefredo Pacheco
4.87;PI;2210706;Simões
8.7;PI;2210805;Simplício Mendes
13.58;PI;2210904;Socorro do Piauí
5.23;PI;2210938;Sussuapara
5.8;PI;2210953;Tamboril do Piauí
1.72;PI;2210979;Tanque do Piauí
9.55;PI;2211001;Teresina
6.32;PI;2211100;União
7.04;PI;2211209;Uruçuí
8.24;PI;2211308;Valença do Piauí
3.42;PI;2211357;Várzea Branca
4.91;PI;2211407;Várzea Grande
4.66;PI;2211506;Vera Mendes
5.09;PI;2211605;Vila Nova do Piauí
5.08;PI;2211704;Wall Ferraz
9.23;CE;2300101;Abaiara
6.92;CE;2300150;Acarapé
7.86;CE;2300200;Acaraú
6.04;CE;2300309;Acopiara
3.69;CE;2300408;Aiuaba
4.69;CE;2300507;Alcântaras
6.97;CE;2300606;Altaneira
5.29;CE;2300705;Alto Santo
7.04;CE;2300754;Amontada
6.52;CE;2300804;Antonina do Norte
5.02;CE;2300903;Apuiarés
7.6;CE;2301000;Aquiraz
10.03;CE;2301109;Aracati
5.63;CE;2301208;Aracoiaba
12.71;CE;2301257;Ararendá
4.95;CE;2301307;Araripe
4.44;CE;2301406;Aratuba
6.24;CE;2301505;Arneiroz
4.47;CE;2301604;Assaré
6.22;CE;2301703;Aurora
6.4;CE;2301802;Baixio
5.68;CE;2301851;Banabuiú
9.89;CE;2301901;Barbalha
10.29;CE;2301950;Barreira
5.34;CE;2302008;Barro
2.8;CE;2302057;Barroquinha
7.59;CE;2302107;Baturité
6.52;CE;2302206;Beberibe
6.32;CE;2302305;Bela Cruz
6.3;CE;2302404;Boa Viagem
8.22;CE;2302503;Brejo Santo
9.18;CE;2302602;Camocim
5.27;CE;2302701;Campos Sales
9.4;CE;2302800;Canindé
6.43;CE;2302909;Capistrano
9.94;CE;2303006;Caridade
5.79;CE;2303105;Cariré
6.83;CE;2303204;Caririaçu
3.64;CE;2303303;Cariús
2.64;CE;2303402;Carnaubal
8.71;CE;2303501;Cascavel
16.48;CE;2303600;Catarina
5.37;CE;2303659;Catunda
8.38;CE;2303709;Caucaia
5.55;CE;2303808;Cedro
4.82;CE;2303907;Chaval
10.5;CE;2303931;Choró
7.4;CE;2303956;Chorozinho
7.55;CE;2304004;Coreaú
9.94;CE;2304103;Crateús
8.62;CE;2304202;Crato
5.21;CE;2304236;Croatá
4.06;CE;2304251;Cruz
3.89;CE;2304269;Deputado Irapuan Pinheiro
8.01;CE;2304277;Ererê
7.78;CE;2304285;Eusébio
7.2;CE;2304301;Farias Brito
6.56;CE;2304350;Forquilha
7.53;CE;2304400;Fortaleza
9.82;CE;2304459;Fortim
4.28;CE;2304509;Frecheirinha
7.17;CE;2304608;General Sampaio
7.41;CE;2304657;Graça
6.82;CE;2304707;Granja
5.48;CE;2304806;Granjeiro
5.41;CE;2304905;Groaíras
8.76;CE;2304954;Guaiúba
4.67;CE;2305001;Guaraciaba do Norte
9.82;CE;2305100;Guaramiranga
4.94;CE;2305209;Hidrolândia
8.89;CE;2305233;Horizonte
4.09;CE;2305266;Ibaretama
2.2;CE;2305308;Ibiapina
8.91;CE;2305332;Ibicuitinga
8.33;CE;2305357;Icapuí
5.72;CE;2305407;Icó
6.82;CE;2305506;Iguatu
8.75;CE;2305605;Independência
7.97;CE;2305654;Ipaporanga
7.75;CE;2305704;Ipaumirim
5.41;CE;2305803;Ipu
7.39;CE;2305902;Ipueiras
8.25;CE;2306009;Iracema
15.49;CE;2306108;Irauçuba
10.35;CE;2306207;Itaiçaba
11.43;CE;2306256;Itaitinga
9.18;CE;2306306;Itapagé
9.69;CE;2306405;Itapipoca
5.94;CE;2306504;Itapiúna
4.95;CE;2306553;Itarema
10.04;CE;2306603;Itatira
6.13;CE;2306702;Jaguaretama
5.12;CE;2306801;Jaguaribara
6.9;CE;2306900;Jaguaribe
7.74;CE;2307007;Jaguaruana
4.92;CE;2307106;Jardim
6.38;CE;2307205;Jati
5.46;CE;2307254;Jijoca de Jericoacoara
9.59;CE;2307304;Juazeiro do Norte
8.78;CE;2307403;Jucás
7.78;CE;2307502;Lavras da Mangabeira
9.02;CE;2307601;Limoeiro do Norte
9.35;CE;2307635;Madalena
10.31;CE;2307650;Maracanaú
8.42;CE;2307700;Maranguape
7.06;CE;2307809;Marco
6.98;CE;2307908;Martinópole
8.03;CE;2308005;Massapê
8.37;CE;2308104;Mauriti
3.19;CE;2308203;Meruoca
8.03;CE;2308302;Milagres
4.16;CE;2308351;Milhã
12.89;CE;2308377;Miraíma
4.28;CE;2308401;Missão Velha
4.81;CE;2308500;Mombaça
10.34;CE;2308609;Monsenhor Tabosa
7.95;CE;2308708;Morada Nova
8.32;CE;2308807;Moraújo
6.43;CE;2308906;Morrinhos
7.31;CE;2309003;Mucambo
5.28;CE;2309102;Mulungu
5.28;CE;2309201;Nova Olinda
5.13;CE;2309300;Nova Russas
6.73;CE;2309409;Novo Oriente
7.33;CE;2309458;Ocara
4.72;CE;2309508;Orós
9.7;CE;2309607;Pacajus
12.67;CE;2309706;Pacatuba
7.65;CE;2309805;Pacoti
5.78;CE;2309904;Pacujá
4.27;CE;2310001;Palhano
5.03;CE;2310100;Palmácia
6.12;CE;2310209;Paracuru
5.62;CE;2310258;Paraipaba
6.43;CE;2310308;Parambu
6.58;CE;2310407;Paramoti
6.55;CE;2310506;Pedra Branca
10.67;CE;2310605;Penaforte
9.01;CE;2310704;Pentecoste
3.64;CE;2310803;Pereiro
5.76;CE;2310852;Pindoretama
6.12;CE;2310902;Piquet Carneiro
7.97;CE;2310951;Pires Ferreira
8.45;CE;2311009;Poranga
10.17;CE;2311108;Porteiras
14.9;CE;2311207;Potengi
7.81;CE;2311231;Potiretama
5.59;CE;2311264;Quiterianópolis
8.36;CE;2311306;Quixadá
3.43;CE;2311355;Quixelô
6.42;CE;2311405;Quixeramobim
11.65;CE;2311504;Quixeré
4.63;CE;2311603;Redenção
5.43;CE;2311702;Reriutaba
6.19;CE;2311801;Russas
6.07;CE;2311900;Saboeiro
1.63;CE;2311959;Salitre
8.69;CE;2312007;Santana do Acaraú
5.64;CE;2312106;Santana do Cariri
7.24;CE;2312205;Santa Quitéria
3.59;CE;2312304;São Benedito
8.49;CE;2312403;São Gonçalo do Amarante
3.72;CE;2312502;São João do Jaguaribe
11.34;CE;2312601;São Luís do Curu
7.99;CE;2312700;Senador Pompeu
4.79;CE;2312809;Senador Sá
7.53;CE;2312908;Sobral
5.49;CE;2313005;Solonópole
9.6;CE;2313104;Tabuleiro do Norte
5.39;CE;2313203;Tamboril
8.35;CE;2313252;Tarrafas
5.7;CE;2313302;Tauá
8.32;CE;2313351;Tejuçuoca
4.37;CE;2313401;Tianguá
3.8;CE;2313500;Trairi
11.61;CE;2313559;Tururu
7.17;CE;2313609;Ubajara
5.7;CE;2313708;Umari
9.07;CE;2313757;Umirim
11.0;CE;2313807;Uruburetama
7.68;CE;2313906;Uruoca
7.95;CE;2313955;Varjota
4.98;CE;2314003;Várzea Alegre
4.6;CE;2314102;Viçosa do Ceará
3.24;RN;2400109;Acari
10.09;RN;2400208;Açu
11.68;RN;2400307;Afonso Bezerra
19.57;RN;2400406;Água Nova
12.11;RN;2400505;Alexandria
8.4;RN;2400604;Almino Afonso
12.73;RN;2400703;Alto do Rodrigues
10.3;RN;2400802;Angicos
6.7;RN;2400901;Antônio Martins
9.16;RN;2401008;Apodi
13.91;RN;2401107;Areia Branca
16.23;RN;2401206;Arês
7.13;RN;2401305;Augusto Severo
9.02;RN;2401404;Baía Formosa
11.53;RN;2401453;Baraúna
7.65;RN;2401503;Barcelona
9.27;RN;2401602;Bento Fernandes
7.16;RN;2401651;Bodó
8.77;RN;2401701;Bom Jesus
7.02;RN;2401800;Brejinho
7.25;RN;2401859;Caiçara do Norte
9.47;RN;2401909;Caiçara do Rio do Vento
6.65;RN;2402006;Caicó
9.08;RN;2402105;Campo Redondo
15.47;RN;2402204;Canguaretama
10.02;RN;2402303;Caraúbas
3.74;RN;2402402;Carnaúba dos Dantas
15.25;RN;2402501;Carnaubais
12.1;RN;2402600;Ceará-Mirim
6.2;RN;2402709;Cerro Corá
5.2;RN;2402808;Coronel Ezequiel
2.82;RN;2402907;Coronel João Pessoa
5.39;RN;2403004;Cruzeta
7.48;RN;2403103;Currais Novos
2.4;RN;2403202;Doutor Severiano
9.33;RN;2403251;Parnamirim
10.27;RN;2403301;Encanto
8.67;RN;2403400;Equador
12.54;RN;2403509;Espírito Santo
12.24;RN;2403608;Extremoz
10.83;RN;2403707;Felipe Guerra
13.0;RN;2403756;Fernando Pedroza
9.68;RN;2403806;Florânia
8.41;RN;2403905;Francisco Dantas
10.81;RN;2404002;Frutuoso Gomes
10.7;RN;2404101;Galinhos
11.34;RN;2404200;Goianinha
14.4;RN;2404309;Governador Dix-Sept Rosado
12.08;RN;2404408;Grossos
11.41;RN;2404507;Guamaré
4.83;RN;2404606;Ielmo Marinho
11.31;RN;2404705;Ipanguaçu
1.8;RN;2404804;Ipueira
4.9;RN;2404853;Itajá
10.89;RN;2404903;Itaú
5.49;RN;2405009;Jaçanã
13.21;RN;2405108;Jandaíra
5.87;RN;2405207;Janduís
3.4;RN;2405306;Januário Cicco
6.29;RN;2405405;Japi
3.53;RN;2405504;Jardim de Angicos
6.96;RN;2405603;Jardim de Piranhas
6.94;RN;2405702;Jardim do Seridó
11.46;RN;2405801;João Câmara
6.22;RN;2405900;João Dias
6.77;RN;2406007;José da Penha
9.11;RN;2406106;Jucurutu
3.59;RN;2406155;Jundiá
5.04;RN;2406205;Lagoa d'Anta
6.31;RN;2406304;Lagoa de Pedras
6.47;RN;2406403;Lagoa de Velhos
8.3;RN;2406502;Lagoa Nova
7.84;RN;2406601;Lagoa Salgada
13.13;RN;2406700;Lajes
5.19;RN;2406809;Lajes Pintadas
8.28;RN;2406908;Lucrécia
13.32;RN;2407005;Luís Gomes
11.34;RN;2407104;Macaíba
12.17;RN;2407203;Macau
14.25;RN;2407252;Major Sales
7.32;RN;2407302;Marcelino Vieira
7.98;RN;2407401;Martins
15.58;RN;2407500;Maxaranguape
6.24;RN;2407609;Messias Targino
7.49;RN;2407708;Montanhas
11.15;RN;2407807;Monte Alegre
4.04;RN;2407906;Monte das Gameleiras
10.22;RN;2408003;Mossoró
9.97;RN;2408102;Natal
9.61;RN;2408201;Nísia Floresta
9.41;RN;2408300;Nova Cruz
9.76;RN;2408409;Olho-d'Água do Borges
2.48;RN;2408508;Ouro Branco
8.22;RN;2408607;Paraná
14.19;RN;2408706;Paraú
15.06;RN;2408805;Parazinho
6.89;RN;2408904;Parelhas
8.25;RN;2408953;Rio do Fogo
11.14;RN;2409100;Passa e Fica
15.7;RN;2409209;Passagem
9.05;RN;2409308;Patu
16.1;RN;2409332;Santa Maria
7.58;RN;2409407;Pau dos Ferros
10.84;RN;2409506;Pedra Grande
