Sigla;codigo;municipio;esperanca_vida
BA;2903904;Bom Jesus da Lapa;71.51
BA;2903953;Bom Jesus da Serra;69.95
BA;2904001;Boninal;72.35
BA;2904050;Bonito;66.12
BA;2904100;Boquira;71.91
BA;2904209;Botuporã;70.24
BA;2904308;Brejões;71.49
BA;2904407;Brejolândia;69.73
BA;2904506;Brotas de Macaúbas;70.24
BA;2904605;Brumado;73.41
BA;2904704;Buerarema;71.33
BA;2904753;Buritirama;70.63
BA;2904803;Caatiba;70.09
BA;2904852;Cabaceiras do Paraguaçu;70.8
BA;2904902;Cachoeira;70.72
BA;2905008;Caculé;71.12
BA;2905107;Caém;67.08
BA;2905156;Caetanos;68.47
BA;2905206;Caetité;73.04
BA;2905305;Cafarnaum;69.03
BA;2905404;Cairu;73.41
BA;2905503;Caldeirão Grande;70.46
BA;2905602;Camacan;71.07
BA;2905701;Camaçari;72.9
BA;2905800;Camamu;67.61
BA;2905909;Campo Alegre de Lourdes;71.68
BA;2906006;Campo Formoso;69.94
BA;2906105;Canápolis;68.93
BA;2906204;Canarana;69.04
BA;2906303;Canavieiras;72.74
BA;2906402;Candeal;72.19
BA;2906501;Candeias;74.39
BA;2906600;Candiba;69.56
BA;2906709;Cândido Sales;72.9
BA;2906808;Cansanção;69.69
BA;2906824;Canudos;67.42
BA;2906857;Capela do Alto Alegre;71.21
BA;2906873;Capim Grosso;70.09
BA;2906899;Caraíbas;69.35
BA;2906907;Caravelas;72.46
BA;2907004;Cardeal da Silva;69.09
BA;2907103;Carinhanha;70.77
BA;2907202;Casa Nova;69.16
BA;2907301;Castro Alves;71.46
BA;2907400;Catolândia;72.13
BA;2907509;Catu;73.86
BA;2907558;Caturama;71.22
BA;2907608;Central;68.65
BA;2907707;Chorrochó;71.74
BA;2907806;Cícero Dantas;67.73
BA;2907905;Cipó;69.62
BA;2908002;Coaraci;70.69
BA;2908101;Cocos;73.28
BA;2908200;Conceição da Feira;70.93
BA;2908309;Conceição do Almeida;73.31
BA;2908408;Conceição do Coité;70.14
BA;2908507;Conceição do Jacuípe;72.93
BA;2908606;Conde;67.31
BA;2908705;Condeúba;72.32
BA;2908804;Contendas do Sincorá;66.7
BA;2908903;Coração de Maria;70.74
BA;2909000;Cordeiros;70.77
BA;2909109;Coribe;73.44
BA;2909208;Coronel João Sá;67.96
BA;2909307;Correntina;72.5
BA;2909406;Cotegipe;69.77
BA;2909505;Cravolândia;70.88
BA;2909604;Crisópolis;70.87
BA;2909703;Cristópolis;70.93
BA;2909802;Cruz das Almas;72.74
BA;2909901;Curaçá;71.68
BA;2910008;Dário Meira;71.27
BA;2910057;Dias d'Ávila;73.66
BA;2910107;Dom Basílio;71.97
BA;2910206;Dom Macedo Costa;72.69
BA;2910305;Elísio Medrado;71.6
BA;2910404;Encruzilhada;70.23
BA;2910503;Entre Rios;72.12
BA;2910602;Esplanada;69.38
BA;2910701;Euclides da Cunha;69.94
BA;2910727;Eunápolis;72.46
BA;2910750;Fátima;66.16
BA;2910776;Feira da Mata;70.77
BA;2910800;Feira de Santana;74.2
BA;2910859;Filadélfia;68.56
BA;2910909;Firmino Alves;66.93
BA;2911006;Floresta Azul;68.88
BA;2911105;Formosa do Rio Preto;70.8
BA;2911204;Gandu;71.26
BA;2911253;Gavião;69.79
BA;2911303;Gentio do Ouro;69.57
BA;2911402;Glória;71.51
BA;2911501;Gongogi;71.37
BA;2911600;Governador Mangabeira;70.26
BA;2911659;Guajeru;71.2
BA;2911709;Guanambi;72.33
BA;2911808;Guaratinga;70.95
BA;2911857;Heliópolis;69.88
BA;2911907;Iaçu;66.81
BA;2912004;Ibiassucê;72.32
BA;2912103;Ibicaraí;70.81
BA;2912202;Ibicoara;68.86
BA;2912301;Ibicuí;71.78
BA;2912400;Ibipeba;69.61
BA;2912509;Ibipitanga;70.42
BA;2912608;Ibiquera;71.28
BA;2912707;Ibirapitanga;69.87
BA;2912806;Ibirapuã;71.43
BA;2912905;Ibirataia;72.33
BA;2913002;Ibitiara;69.61
BA;2913101;Ibititá;69.82
BA;2913200;Ibotirama;71.78
BA;2913309;Ichu;71.23
BA;2913408;Igaporã;70.98
BA;2913457;Igrapiúna;72.32
BA;2913507;Iguaí;72.18
